career_title,skill_id,skill_name,relation_type
performance lighting designer,meet-deadlines,meet deadlines,essential
performance lighting designer,present-artistic-design-proposals,present artistic design proposals,essential
performance lighting designer,adapt-existing-designs-to-changed-circumstances,adapt existing designs to changed circumstances,essential
performance lighting designer,use-technical-documentation,use technical documentation,essential
performance lighting designer,keep-up-with-trends,keep up with trends,essential
performance lighting designer,develop-design-ideas-cooperatively,develop design ideas cooperatively,essential
performance lighting designer,labour-legislation,labour legislation,optional
performance lighting designer,copyright-legislation,copyright legislation,optional
performance lighting designer,lead-a-team,lead a team,optional
performance lighting designer,provide-documentation,provide documentation,optional
performance lighting designer,update-budget,update budget,optional
performance lighting designer,calculate-design-costs,calculate design costs,optional
performance lighting designer,translate-artistic-concepts-to-technical-designs,translate artistic concepts to technical designs,optional
performance lighting designer,analyse-the-need-for-technical-resources,analyse the need for technical resources,optional
performance lighting designer,manage-personal-professional-development,manage personal professional development,optional
performance lighting designer,develop-professional-network,develop professional network,optional
integration engineer,procurement-of-ict-network-equipment,procurement of ICT network equipment,essential
integration engineer,ict-communications-protocols,ICT communications protocols,essential
integration engineer,ict-project-management-methodologies,ICT project management methodologies,essential
integration engineer,ict-system-user-requirements,ICT system user requirements,essential
integration engineer,software-components-suppliers,software components suppliers,essential
integration engineer,provide-technical-documentation,provide technical documentation,essential
integration engineer,apply-company-policies,apply company policies,essential
integration engineer,use-scripting-programming,use scripting programming,essential
integration engineer,deploy-ict-systems,deploy ICT systems,essential
integration engineer,apply-ict-system-usage-policies,apply ICT system usage policies,essential
integration engineer,define-integration-strategy,define integration strategy,essential
integration engineer,analyse-network-bandwidth-requirements,analyse network bandwidth requirements,essential
integration engineer,integrate-system-components,integrate system components,essential
integration engineer,design-component-interfaces,design component interfaces,essential
integration engineer,haskell,Haskell,optional
integration engineer,sas-language,SAS language,optional
integration engineer,systems-development-life-cycle,systems development life-cycle,optional
integration engineer,agile-project-management,Agile project management,optional
integration engineer,ruby-computer-programming,Ruby (computer programming),optional
integration engineer,common-lisp,Common Lisp,optional
integration engineer,apache-maven,Apache Maven,optional
integration engineer,ict-network-routing,ICT network routing,optional
integration engineer,lisp,Lisp,optional
integration engineer,information-security-strategy,information security strategy,optional
integration engineer,visual-studio-net,Visual Studio .NET,optional
integration engineer,java-computer-programming,Java (computer programming),optional
integration engineer,information-architecture,information architecture,optional
integration engineer,solution-deployment,solution deployment,optional
integration engineer,embedded-systems,embedded systems,optional
integration engineer,computer-programming,computer programming,optional
integration engineer,interfacing-techniques,interfacing techniques,optional
integration engineer,model-based-system-engineering,model based system engineering,optional
integration engineer,prolog-computer-programming,Prolog (computer programming),optional
integration engineer,openedge-advanced-business-language,OpenEdge Advanced Business Language,optional
integration engineer,javascript,JavaScript,optional
integration engineer,perl,Perl,optional
integration engineer,php,PHP,optional
integration engineer,assembly-computer-programming,Assembly (computer programming),optional
integration engineer,software-components-libraries,software components libraries,optional
integration engineer,hardware-components,hardware components,optional
integration engineer,c-2,C#,optional
integration engineer,r,R,optional
integration engineer,groovy,Groovy,optional
integration engineer,asp-net,ASP.NET,optional
integration engineer,apl,APL,optional
integration engineer,ict-debugging-tools,ICT debugging tools,optional
integration engineer,puppet-tools-for-software-configuration-management,Puppet (tools for software configuration management),optional
integration engineer,staf,STAF,optional
integration engineer,vagrant,Vagrant,optional
integration engineer,ansible,Ansible,optional
integration engineer,ict-system-integration,ICT system integration,optional
integration engineer,cisco,Cisco,optional
integration engineer,engineering-processes,engineering processes,optional
integration engineer,tools-for-ict-test-automation,tools for ICT test automation,optional
integration engineer,microsoft-visual-c,Microsoft Visual C++,optional
integration engineer,objective-c,Objective-C,optional
integration engineer,tools-for-software-configuration-management,tools for software configuration management,optional
integration engineer,ml-computer-programming,ML (computer programming),optional
integration engineer,ict-system-programming,ICT system programming,optional
integration engineer,ajax,AJAX,optional
integration engineer,c,C++,optional
integration engineer,sap-r3,SAP R3,optional
integration engineer,swift-computer-programming,Swift (computer programming),optional
integration engineer,matlab,MATLAB,optional
integration engineer,salt-tools-for-software-configuration-management,Salt (tools for software configuration management),optional
integration engineer,ict-recovery-techniques,ICT recovery techniques,optional
integration engineer,python-computer-programming,Python (computer programming),optional
integration engineer,ict-infrastructure,ICT infrastructure,optional
integration engineer,scratch-computer-programming,Scratch (computer programming),optional
integration engineer,process-based-management,Process-based management,optional
