O*NET-SOC Code	Workplace Example	Element ID	Element Name	Hot Technology	In Demand
15-1252.00	IBM Middleware	2.E.6.l	Transaction server software	N	N
15-1252.00	IBM Notes	2.E.16.a	Electronic mail software	N	N
15-1252.00	IBM Power Systems software	2.E.17.a	Enterprise system management software	N	N
15-1252.00	IBM Rational ClearCase	2.E.7.a	Configuration management software	N	N
15-1252.00	IBM Rational ClearQuest	2.E.7.b	Development environment software	N	N
15-1252.00	IBM Rational PurifyPlus	2.E.7.f	Program testing software	N	N
15-1252.00	IBM Rational RequisitePro	2.E.7.g	Requirements analysis and system architecture software	N	N
15-1252.00	IBM Rational Rose XDE	2.E.7.b	Development environment software	N	N
15-1252.00	IBM SPSS Statistics	2.E.9.d	Analytical or scientific software	Y	N
15-1252.00	IBM Terraform	2.E.7.a	Configuration management software	Y	Y
15-1252.00	IBM WebSphere	2.E.11.e	Cloud-based management software	N	N
15-1252.00	IBM WebSphere MQ	2.E.11.e	Cloud-based management software	Y	N
15-1252.00	IBM z/OS operating systems	2.E.13.b	Network operation system software	N	N
15-1252.00	ICON programming language	2.E.7.b	Development environment software	N	N
15-1252.00	IEA Software Emerald	2.E.6.f	Data base user interface and query software	N	N
15-1252.00	Informatica software	2.E.6.i	Metadata management software	Y	N
15-1252.00	Integrated development environment IDE software	2.E.7.b	Development environment software	N	N
15-1252.00	Integration testing software	2.E.7.f	Program testing software	N	N
15-1252.00	Interface definition language IDL	2.E.7.b	Development environment software	N	N
15-1252.00	Interoperability testing software	2.E.7.f	Program testing software	N	N
15-1252.00	Interstate connection ICON	2.E.7.b	Development environment software	N	N
15-1252.00	J	2.E.7.b	Development environment software	N	N
15-1252.00	JamBoard	2.E.4.b	Graphics or photo imaging software	N	N
15-1252.00	JavaScript	2.E.7.h	Web platform development software	Y	Y
15-1252.00	JavaScript framework software	2.E.7.h	Web platform development software	N	N
15-1252.00	JavaScript Object Notation JSON	2.E.7.h	Web platform development software	Y	N
15-1252.00	Jenkins CI	2.E.7.c	Enterprise application integration software	Y	Y
15-1252.00	JFrog Artifactory	2.E.7.b	Development environment software	N	N
15-1252.00	Job control language JCL	2.E.13.c	Operating system software	N	N
15-1252.00	jQuery	2.E.7.e	Object or component oriented development software	Y	N
